Ang Mo Kio,174770
Ang Mo Kio Town Centre,5020
Cheng San,29770
Chong Boon,27900
Kebun Bahru,23910
Sembawang Hills,6890
Shangri-La,18510
Tagore,8350
Townsville,23770
Yio Chu Kang,30
Yio Chu Kang East,4080
Yio Chu Kang North,-
Yio Chu Kang West,26550
Bedok,289750
Bayshore,7480
Bedok North,85930
Bedok Reservoir,25400
Bedok South,51190
Frankel,33570
Kaki Bukit,40820
Kembangan,38440
Siglap,6930
Bishan,90700
Bishan East,28820
Marymount,31540
Upper Thomson,30340
Boon Lay,30
Liu Fang,10
Samulun,10
Shipyard,-
Tukang,10
Bukit Batok,139270
Brickworks,-
Bukit Batok Central,26060
Bukit Batok East,14570
Bukit Batok South,13940
Bukit Batok West,15190
Gombak,9820
Guilin,13130
Hillview,18220
Hong Kah North,28340
Bukit Merah,155840
Alexandra Hill,15650
Alexandra North,1000
Bukit Ho Swee,16290
Bukit Merah,1190
City Terminals,40
Depot Road,5200
Everton Park,9010
Henderson Hill,12870
Kampong Tiong Bahru,10460
Maritime Square,2560
Redhill,12210
Singapore General Hospital,10
Telok Blangah Drive,16000
Telok Blangah Rise,13820
Telok Blangah Way,10690
Tiong Bahru,12190
Tiong Bahru Station,16670
Bukit Panjang,139030
Bangkit,23800
Dairy Farm,5390
Fajar,26770
Jelebu,33470
Nature Reserve,3870
Saujana,25530
Senja,20200
Bukit Timah,74470
Anak Bukit,21990
Coronation Road,6170
Farrer Court,4680
Hillcrest,8810
Holland Road,10280
Leedon Park,6260
Swiss Club,5550
Ulu Pandan,10730
Central Water Catchment,10
Central Water Catchment,10
Changi,2530
Changi Airport,-
Changi Point,790
Changi West,1740
Changi Bay,-
Changi Bay,-
Choa Chu Kang,174330
Choa Chu Kang Central,21400
Choa Chu Kang North,34380
Keat Hong,15660
Peng Siang,32130
Teck Whye,27040
Yew Tee,43710
Clementi,91630
Clementi Central,13490
Clementi North,28730
Clementi West,16470
Clementi Woods,16400
Faber,4320
Pandan,10
Sunset Way,6290
Toh Tuck,40
West Coast,5890
Downtown Core,3720
Anson,80
Bayfront Subzone,-
Bugis,2330
Cecil,160
Central Subzone,480
City Hall,60
Clifford Pier,-
Marina Centre,20
Maxwell,-
Phillip,-
Raffles Place,60
Tanjong Pagar,520
Geylang,116960
Aljunied,41710
Geylang East,33380
Kallang Way,40
Kampong Ubi,13210
Macpherson,28630
Hougang,222310
Defu Industrial Park,20
