Name,Population,Latitude,Longitude
Ang Mo Kio,174770,1.369842,103.8466086
Ang Mo Kio Town Centre,5020,1.369842,103.8466086
Cheng San,29770,1.340863,103.830391822121
Chong Boon,27900,1.36820695,103.856360356937
Sembawang Hills,6890,1.3723986,103.8290294792
Shangri-La,18510,1.311352,103.826629214706
Tagore,8350,1.3841414,103.8299403
Townsville,23770,1.3594914,103.8551716
Yio Chu Kang,30,1.3587904,103.8742217
Yio Chu Kang East,4080,1.3587904,103.8742217
Yio Chu Kang North,0,1.3587904,103.8742217
Yio Chu Kang West,26550,1.3587904,103.8742217
Bedok,289750,1.3239765,103.930216
Bayshore,7480,1.3128118,103.939032917616
Bedok North,85930,1.3324018,103.9193052
Bedok Reservoir,25400,1.3425058,103.925229807312
Bedok South,51190,1.3170871,103.9499069
Frankel,33570,1.3183166,103.9147267
Kaki Bukit,40820,1.3360277,103.9018509
Kembangan,38440,1.3210321,103.9129269
Siglap,6930,1.3169991,103.9195871
Bishan,90700,1.3514521,103.8482496
Bishan East,28820,1.3514521,103.8482496
Marymount,31540,1.3486136,103.8392382
Upper Thomson,30340,1.354498,103.832820550675
Boon Lay,30,1.3456401,103.7118018
Samulun,10,1.302728,103.697428262079
Shipyard,0,1.3094701,103.697839
Tukang,10,1.3253215,103.7092754
Bukit Batok,139270,1.3490572,103.7495906
Brickworks,0,1.2869332,103.807560113105
Bukit Batok Central,26060,1.3509787,103.750719
Bukit Batok East,14570,1.3490572,103.7495906
Bukit Batok South,13940,1.3490572,103.7495906
Bukit Batok West,15190,1.3455305,103.7397329
Gombak,9820,1.360768,103.7495341
Guilin,13130,1.35548985,103.752533564001
Hillview,18220,1.3623436,103.7671304
Hong Kah North,28340,1.3582378,103.7271914
Bukit Merah,155840,1.2806275,103.8305915
Alexandra Hill,15650,1.277477,103.8018803
Alexandra North,1000,1.277477,103.8018803
Bukit Ho Swee,16290,1.2873254,103.8334458
Bukit Merah,1190,1.2806275,103.8305915
City Terminals,40,1.24762615,103.686974398195
Depot Road,5200,1.2815921,103.8050368
Everton Park,9010,1.2771286,103.83936791519
Kampong Tiong Bahru,10460,1.2749197,103.8289511
Maritime Square,2560,1.264222,103.8189255
Redhill,12210,1.2896482,103.8167677
