name,population,latitude,longitude,maxnoise
Ang Mo Kio,174770,1.369842,103.8466086,78.86157349477061
Ang Mo Kio Town Centre,5020,1.369842,103.8466086,78.86157349477061
Cheng San,29770,1.340863,103.830391822121,76.40918049962755
Chong Boon,27900,1.36820695,103.856360356937,78.38889116795323
Sembawang Hills,6890,1.3723986,103.8290294792,77.77775861482405
Shangri-La,18510,1.311352,103.826629214706,74.38619738360643
Tagore,8350,1.3841414,103.8299403,80.16869311939342
Townsville,23770,1.3594914,103.8551716,78.15368938013609
Yio Chu Kang,30,1.3587904,103.8742217,79.14730691104063
Yio Chu Kang East,4080,1.3587904,103.8742217,79.14730691104063
Yio Chu Kang North,0,1.3587904,103.8742217,79.14730691104063
Yio Chu Kang West,26550,1.3587904,103.8742217,79.14730691104063
Bedok,289750,1.3239765,103.930216,78.53088171825287
Bayshore,7480,1.3128118,103.939032917616,79.75244622007165
Bedok North,85930,1.3324018,103.9193052,83.0509521769781
Bedok Reservoir,25400,1.3425058,103.925229807312,82.44815678589612
Bedok South,51190,1.3170871,103.9499069,81.88069835334927
Frankel,33570,1.3183166,103.9147267,80.92949765011159
Kaki Bukit,40820,1.3360277,103.9018509,93.8852004240951
Kembangan,38440,1.3210321,103.9129269,81.83546698678707
Siglap,6930,1.3169991,103.9195871,79.60320827496604
Bishan,90700,1.3514521,103.8482496,77.57621047416701
Bishan East,28820,1.3514521,103.8482496,77.57621047416701
Marymount,31540,1.3486136,103.8392382,77.0370615037738
Upper Thomson,30340,1.354498,103.832820550675,76.66890605261204
Boon Lay,30,1.3456401,103.7118018,85.07089427135456
Samulun,10,1.302728,103.697428262079,80.98423042309781
Shipyard,0,1.3094701,103.697839,81.59038288797001
Tukang,10,1.3253215,103.7092754,82.84291319779183
Bukit Batok,139270,1.3490572,103.7495906,79.51482524916013
Brickworks,0,1.2869332,103.807560113105,72.50267051231748
Bukit Batok Central,26060,1.3509787,103.750719,79.6682875537685
Bukit Batok East,14570,1.3490572,103.7495906,79.51482524916013
Bukit Batok South,13940,1.3490572,103.7495906,79.51482524916013
Bukit Batok West,15190,1.3455305,103.7397329,78.3255575722434
Gombak,9820,1.360768,103.7495341,79.44529542681626
Guilin,13130,1.35548985,103.752533564001,79.92996360997643
Hillview,18220,1.3623436,103.7671304,81.70100898089329
Hong Kah North,28340,1.3582378,103.7271914,81.47853004513334
Bukit Merah,155840,1.2806275,103.8305915,73.25654791101341
Alexandra Hill,15650,1.277477,103.8018803,71.82832816803773
Alexandra North,1000,1.277477,103.8018803,71.82832816803773
Bukit Ho Swee,16290,1.2873254,103.8334458,73.70225297818742
Bukit Merah,1190,1.2806275,103.8305915,73.25654791101341
Jurong Island,40,1.24762615,103.686974398195,76.95817601608874
Depot Road,5200,1.2815921,103.8050368,72.10931663212226
Everton Park,9010,1.2771286,103.83936791519,74.38148806713838
Kampong Tiong Bahru,10460,1.2749197,103.8289511,72.99504029070943
Maritime Square,2560,1.264222,103.8189255,72.79889567772454
Redhill,12210,1.2896482,103.8167677,72.61300573686813
Singapore General Hospital,10,1.27944885,103.836280497274,73.9900436826666
Telok Blangah Drive,16000,1.2727476,103.8094655,71.9277220434753
Telok Blangah Rise,13820,1.2733393,103.8206709,72.01085913565497
Telok Blangah Way,10690,1.2775976,103.8177703,71.7191979338468
Tiong Bahru,12190,1.2861968,103.8257646,72.70228756815027
Tiong Bahru Station,16670,1.2861968,103.8257646,72.70228756815027
Bukit Panjang,139030,1.377921,103.7718658,83.00851670948737
Bangkit,23800,1.3800432,103.7726581,83.18620926464713
Dairy Farm,5390,1.3651581,103.7740781,82.24179506363716
Fajar,26770,1.3845178,103.770797,83.62734542327242
Jelebu,33470,1.3804378,103.7635987,82.38340608383113
Nature Reserve,3870,1.35384195,103.778506318935,80.49582475534253
Saujana,25530,1.3824196,103.766833,82.95578943839942
Senja,20200,1.3826778,103.7623822,82.61289707038672
Bukit Timah,74470,1.3546901,103.7763724,80.78944086539778
Anak Bukit,21990,1.3358173,103.7754302,78.36861387455967
Coronation Road,6170,1.3216284,103.8062364,74.85442914419846
Farrer Court,4680,1.3212852,103.8708583,80.17536102501352
Hillcrest,8810,1.2904753,103.8520359,76.58980466369978
Holland Road,10280,1.3103101,103.8047377,74.22242201836062
Leedon Park,6260,1.3168073,103.7961078,74.39136040465245
Swiss Club,5550,1.3429964,103.7906466,77.5459200344707
Ulu Pandan,10730,1.3112959,103.784035,74.83878123023594
Changi,2530,1.352516,103.987006967412,91.74552431794652
Changi Airport,0,1.3573382,103.9885647,92.17884289639194
Changi Point,790,1.352516,103.987006967412,91.74552431794652
Changi West,1740,1.352516,103.987006967412,91.74552431794652
Changi Bay,0,1.3168496,104.0206494,77.5859591711484
Changi Bay,0,1.3168496,104.0206494,77.5859591711484
Choa Chu Kang,174330,1.3892601,103.743728,81.11975449880097
Choa Chu Kang Central,21400,1.3806708,103.747758,81.20829595921724
Choa Chu Kang North,34380,1.3892601,103.743728,81.11975449880097
Keat Hong,15660,1.3785783,103.7490338,81.07573750518597
Teck Whye,27040,1.3766511,103.753635,81.10736371926117
Yew Tee,43710,1.3974678,103.7473332,80.78843883720181
Clementi,91630,1.3140256,103.7624098,76.99421723394964
Clementi Central,13490,1.3140256,103.7624098,76.99421723394964
Clementi North,28730,1.3140256,103.7624098,76.99421723394964
Clementi West,16470,1.3140256,103.7624098,76.99421723394964
Clementi Woods,16400,1.3000215,103.767770762669,75.23967977048343
Faber,4320,1.271924,103.81717519393,71.93087498181202
Pandan,10,1.3112959,103.784035,74.83878123023594
Sunset Way,6290,1.329083,103.7670802,78.26223087025149
Toh Tuck,40,1.3309244,103.757592680382,78.86984946373352
West Coast,5890,1.3072301,103.7667284,76.00231381290344
Anson,80,1.2714519,103.8429867,74.79454199440659
Bugis,2330,1.2994758,103.8550889,77.11301199648639
Cecil,160,1.2787159,103.8477379,75.62610579793342
City Hall,60,1.2928611,103.8526887,76.73280654205224
