name,population,latitude,longitude,maxnoise
Ang Mo Kio,174770,1.369842,103.8466086,78.86157349477061
Ang Mo Kio Town Centre,5020,1.369842,103.8466086,78.86157349477061
Cheng San,29770,1.340863,103.830391822121,72.96383073410412
Chong Boon,27900,1.36820695,103.856360356937,78.38889116795323
Sembawang Hills,6890,1.3723986,103.8290294792,77.77775861482405
Shangri-La,18510,1.311352,103.826629214706,69.69751867005
Tagore,8350,1.3841414,103.8299403,80.16869311939342
Townsville,23770,1.3594914,103.8551716,76.50977617926377
Yio Chu Kang,30,1.3587904,103.8742217,75.27539158966526
Yio Chu Kang East,4080,1.3587904,103.8742217,75.27539158966526
Yio Chu Kang North,0,1.3587904,103.8742217,75.27539158966526
Yio Chu Kang West,26550,1.3587904,103.8742217,75.27539158966526
Bedok,289750,1.3239765,103.930216,77.5106153017177
Bayshore,7480,1.3128118,103.939032917616,79.75244622007165
Bedok North,85930,1.3324018,103.9193052,75.20101277391032
Bedok Reservoir,25400,1.3425058,103.925229807312,75.56593634474982
Bedok South,51190,1.3170871,103.9499069,81.88069835334927
Frankel,33570,1.3183166,103.9147267,75.21844161222661
Kaki Bukit,40820,1.3360277,103.9018509,72.69324069239426
Kembangan,38440,1.3210321,103.9129269,74.82693594525972
Siglap,6930,1.3169991,103.9195871,76.0301667749579
Bishan,90700,1.3514521,103.8482496,75.05918624492901
Bishan East,28820,1.3514521,103.8482496,75.05918624492901
Marymount,31540,1.3486136,103.8392382,74.4003983950458
Upper Thomson,30340,1.354498,103.832820550675,75.02596220970798
Boon Lay,30,1.3456401,103.7118018,65.70126490651518
Samulun,10,1.302728,103.697428262079,66.00221254768124
Shipyard,0,1.3094701,103.697839,65.68596431827915
Tukang,10,1.3253215,103.7092754,65.04907409947475
Bukit Batok,139270,1.3490572,103.7495906,68.06502232745991
Brickworks,0,1.2869332,103.807560113105,67.34007479051414
Bukit Batok Central,26060,1.3509787,103.750719,68.2153973169867
Bukit Batok East,14570,1.3490572,103.7495906,68.06502232745991
Bukit Batok South,13940,1.3490572,103.7495906,68.06502232745991
Bukit Batok West,15190,1.3455305,103.7397329,67.3053406875785
Gombak,9820,1.360768,103.7495341,68.48763099245632
Guilin,13130,1.35548985,103.752533564001,68.51535944861176
Hillview,18220,1.3623436,103.7671304,69.92848307400003
Hong Kah North,28340,1.3582378,103.7271914,66.90006809320728
Bukit Merah,155840,1.2806275,103.8305915,68.17891917458921
Alexandra Hill,15650,1.277477,103.8018803,66.6747461293985
Alexandra North,1000,1.277477,103.8018803,66.6747461293985
Bukit Ho Swee,16290,1.2873254,103.8334458,68.20927676225907
Bukit Merah,1190,1.2806275,103.8305915,68.17891917458921
Jurong Island,40,1.24762615,103.686974398195,68.64109761643304
Depot Road,5200,1.2815921,103.8050368,66.93198715493375
Everton Park,9010,1.2771286,103.83936791519,68.89096255570405
Kampong Tiong Bahru,10460,1.2749197,103.8289511,68.20530014465436
Maritime Square,2560,1.264222,103.8189255,67.7857671042305
Redhill,12210,1.2896482,103.8167677,67.74228592978831
Singapore General Hospital,10,1.27944885,103.836280497274,68.60739445326365
Telok Blangah Drive,16000,1.2727476,103.8094655,67.0043634396944
Telok Blangah Rise,13820,1.2733393,103.8206709,67.6908607350635
Telok Blangah Way,10690,1.2775976,103.8177703,67.40752720338361
Tiong Bahru,12190,1.2861968,103.8257646,67.71984227399881
Tiong Bahru Station,16670,1.2861968,103.8257646,67.71984227399881
Bukit Panjang,139030,1.377921,103.7718658,71.0188558022554
Bangkit,23800,1.3800432,103.7726581,71.17745561592515
Dairy Farm,5390,1.3651581,103.7740781,70.66751547950093
Fajar,26770,1.3845178,103.770797,71.12770492804296
Jelebu,33470,1.3804378,103.7635987,70.2906348792637
Nature Reserve,3870,1.35384195,103.778506318935,70.41345734631436
Saujana,25530,1.3824196,103.766833,70.66178488719845
Senja,20200,1.3826778,103.7623822,70.23582154215089
Bukit Timah,74470,1.3546901,103.7763724,70.29268513488846
Anak Bukit,21990,1.3358173,103.7754302,69.09457765426296
Coronation Road,6170,1.3216284,103.8062364,69.8720300399443
Farrer Court,4680,1.3212852,103.8708583,70.73902595938065
Hillcrest,8810,1.2904753,103.8520359,69.50433274093041
Holland Road,10280,1.3103101,103.8047377,68.91273008803653
Leedon Park,6260,1.3168073,103.7961078,69.02681906828693
Swiss Club,5550,1.3429964,103.7906466,70.61311465056204
Ulu Pandan,10730,1.3112959,103.784035,68.09575759338757
Changi,2530,1.352516,103.987006967412,91.74552431794652
Changi Airport,0,1.3573382,103.9885647,92.17884289639194
Changi Point,790,1.352516,103.987006967412,91.74552431794652
Changi West,1740,1.352516,103.987006967412,91.74552431794652
Changi Bay,0,1.3168496,104.0206494,77.5859591711484
Changi Bay,0,1.3168496,104.0206494,77.5859591711484
Choa Chu Kang,174330,1.3892601,103.743728,68.71019364863173
Choa Chu Kang Central,21400,1.3806708,103.747758,68.89775604900619
Choa Chu Kang North,34380,1.3892601,103.743728,68.71019364863173
Keat Hong,15660,1.3785783,103.7490338,68.95736733479319
Teck Whye,27040,1.3766511,103.753635,69.29409875863786
Yew Tee,43710,1.3974678,103.7473332,69.09539352093951
Clementi,91630,1.3140256,103.7624098,67.20219427257896
Clementi Central,13490,1.3140256,103.7624098,67.20219427257896
Clementi North,28730,1.3140256,103.7624098,67.20219427257896
Clementi West,16470,1.3140256,103.7624098,67.20219427257896
Clementi Woods,16400,1.3000215,103.767770762669,66.74397476102016
Faber,4320,1.271924,103.81717519393,67.49909209635564
Pandan,10,1.3112959,103.784035,68.09575759338757
Sunset Way,6290,1.329083,103.7670802,68.21521274766225
Toh Tuck,40,1.3309244,103.757592680382,67.77021122113057
West Coast,5890,1.3072301,103.7667284,67.06766766865175
Anson,80,1.2714519,103.8429867,69.30832890227641
Bugis,2330,1.2994758,103.8550889,69.49115028113778
Cecil,160,1.2787159,103.8477379,69.48670961958965
City Hall,60,1.2928611,103.8526887,69.4889664744992
